wavelength(A),energy(ev),cross_section(Mb)
783,15.85,29.2
780,15.91,29.5
770,16.11,30.3
760,16.33,31.1
750,16.54,31.8
740,16.77,32.5
730,17,33.1
720,17.23,33.7
710,17.48,34.2
700,17.73,34.7
690,17.98,35.1
680,18.25,35.5
670,18.52,35.8
660,18.8,36.1
650,19.09,36.3
640,19.39,36.5
630,19.7,36.6
620,20.01,36.7
610,20.34,36.8
600,20.68,36.7
590,21.03,36.7
580,21.39,36.5
570,21.77,36.3
560,22.16,36.1
550,22.56,35.7
540,22.98,35.4
530,23.41,34.9
520,23.86,34.4
510,24.33,33.8
500,24.82,33.1
490,25.32,32.3
480,25.85,31.4
470,26.4,30.5
460,26.97,29.5
450,27.57,28.3
440,28.2,27.1
430,28.86,25.7
420,29.54,24.3
410,30.26,22.7
400,31.02,21
390,31.82,19.1
380,32.65,17.1
370,33.54,15
360,34.47,12.8
350,35.45,10.3
340,36.49,7.77
330,37.6,6.1
320,38.78,4.62
310,40.03,3.41
300,41.36,2.47
290,42.79,1.77
280,44.32,1.3
270,45.96,1.03
260,47.72,0.914
250,49.63,0.916
240,51.7,1
230,53.95,1.13
220,56.4,1.28
210,59.09,1.36
200,62.04,1.42
190,65.31,1.45
180,68.93,1.48
170,72.99,1.48
160,77.55,1.47
150,82.72,1.45
140,88.63,1.41
130,95.45,1.36
120,103.4,1.29
110,112.8,1.2
100,124.08,1.1
95,130.61,1.05
90,137.87,0.987
85,145.98,0.923
80,155.1,0.856
75,165.44,0.785
70,177.26,0.709
65,190.9,0.63
60,206.8,0.547
55,225.6,0.461
50.6,245.22,0.381
50,248.16,4.66
48,258.5,4.23
46,269.74,3.83
44,282.01,3.45
42,295.43,3.1
40,310.21,2.76
38,326.53,2.45
36,344.67,2.16
34,364.95,1.89
32,387.76,1.64
30,413.61,1.41
28,443.15,1.2
26,477.24,1.01
24,517.01,0.836
22,564.01,0.682
20,620.41,0.546
19,653.07,0.484
18,689.35,0.426
17,729.9,0.373
16,775.51,0.324
15,827.22,0.278
14,886.3,0.237
13,954.48,0.199
12,1034.02,0.165
11,1128.02,0.135
10,1240.82,0.108
9.5,1306.13,0.0955
9,1378.69,0.0842
8.5,1459.79,0.0736
8,1551.03,0.0639
7.5,1654.43,0.0549
7,1772.61,0.0467
6.5,1908.96,0.0393
6,2068.04,0.0326
5.5,2256.04,0.0266
5,2481.65,0.0213
4.5,2757.39,0.0166
4,3102.06,0.0126
3.87,3206.26,0.0117
3.8,3265.33,0.0959
3.6,3446.73,0.0827
3.4,3649.48,0.0706
3.2,3877.57,0.0598
3,4136.08,0.0501
2.8,4431.51,0.0414
2.6,4772.4,0.0338
2.4,5170.1,0.0271
2.2,5640.11,0.0213
2,6204.12,0.0164
1.8,6893.47,0.0123
1.6,7755.15,0.00889
1.4,8863.03,0.00616
1.2,10340.2,0.00403
1,12408.24,0.00244
0.8,15510.3,0.00132
0.6,20680.4,0.000599
0.4,31020.6,0.000196
0.2,62041.2,0.000029
