wavelength(A),E (ev),cross_section(Mb)
504,24.62,7.56
500,24.82,7.46
495,25.07,7.33
490,25.32,7.19
485,25.58,7.06
480,25.85,6.94
475,26.12,6.81
470,26.4,6.68
465,26.68,6.55
460,26.97,6.43
455,27.27,6.3
450,27.57,6.18
445,27.88,6.05
440,28.2,5.93
435,28.52,5.81
430,28.86,5.69
425,29.2,5.57
420,29.54,5.45
115,107.9,5.33
410,30.26,5.21
405,30.64,5.1
400,31.02,4.98
395,31.41,4.87
390,31.82,4.76
385,32.23,4.64
380,32.65,4.53
375,33.09,4.42
370,33.54,4.31
365,34,4.2
360,34.47,4.09
355,34.95,4
350,35.45,3.88
345,35.97,3.78
340,36.49,3.68
335,37.04,3.57
330,37.6,3.47
325,38.18,3.37
320,38.78,3.27
315,39.39,3.18
310,40.03,3.08
305,40.68,2.98
300,41.36,2.89
295,42.06,2.8
290,42.79,2.7
285,43.54,2.61
280,44.32,2.52
275,45.12,2.44
270,45.96,2.35
265,46.82,2.26
260,47.72,2.18
255,48.66,2.1
250,49.63,2.02
245,50.65,1.94
240,51.7,1.86
235,52.8,1.78
230,53.95,1.7
225,55.15,1.63
220,56.4,1.55
215,57.71,1.48
210,59.09,1.41
205,60.53,1.34
200,62,1.28
195,63.63,1.21
190,65.31,1.14
185,67.07,1.08
180,68.93,1.02
175,70.9,0.961
170,72.99,0.903
165,75.2,0.847
160,77.55,0.792
155,80.05,0.738
150,82.72,0.687
145,85.57,0.637
140,88.63,0.588
135,91.91,0.542
130,95.45,0.497
125,99.27,0.454
120,103.4,0.412
115,107.9,0.373
110,112.8,0.335
105,118.17,0.299
100,124.08,0.265
95,130.61,0.233
90,137.87,0.202
85,145.98,0.174
80,155.1,0.147
75,165.44,0.123
70,177.26,0.1
65,190.9,0.0795
60,206.8,0.0609
55,225.6,0.0443
50,248.16,0.0315
48,258.5,0.0282
46,269.74,0.025
44,282.01,0.022
42,295.43,0.0193
40,310.21,0.0168
38,326.53,0.0145
36,344.67,0.0124
34,364.95,0.0105
32,387.76,0.00885
30,413.61,0.00736
28,443.15,0.00604
26,477.24,0.00489
24,517.01,0.00389
22,564.01,0.00303
20,620.41,0.00231
19,653.07,0.00199
18,689.35,0.00171
17,729.9,0.00145
16,775.51,0.00122
15,827.22,0.00101
14,886.3,0.000832
13,954.48,0.000673
12,1034.02,0.000535
11,1128.02,0.000417
10,1240.82,0.000318
9.5,1306.13,0.000274
9,1378.69,0.000235
8.5,1459.79,0.0002
8,1551.03,0.000168
7.5,1654.43,0.000139
7,1772.61,0.000115
6.5,1908.96,0.000093
6,2068.04,0.000074
5.5,2256.04,0.000057
5,2481.65,0.000044
4.5,2757.39,0.000032
4,3102.06,0.000023
3.5,3545.21,0.000016
3,4136.08,0.00001
2.5,4963.3,0.000006
2,6204.12,0.000003
1.5,8272.16,0.000001
