Energy (eV),Exp (Mb),Sim (Mb),Diff (Mb),Error (%)
24.6,7.56,8.282,0.7215,9.54
24.8,7.46,8.169,0.7086,9.5
25.05,7.33,8.029,0.6994,9.54
25.3,7.19,7.893,0.7025,9.77
25.56,7.06,7.753,0.6927,9.81
25.83,6.94,7.61,0.6701,9.66
26.1,6.81,7.47,0.6601,9.69
26.38,6.68,7.328,0.6478,9.7
26.66,6.55,7.188,0.6384,9.75
26.95,6.43,7.047,0.6169,9.59
27.25,6.3,6.904,0.604,9.59
27.86,6.05,6.624,0.5744,9.49
28.5,5.81,6.344,0.5339,9.19
29.17,5.57,6.064,0.4943,8.88
29.87,5.33,5.788,0.4577,8.59
30.61,5.1,5.511,0.4114,8.07
31.39,4.87,5.237,0.3673,7.54
32.2,4.64,4.97,0.3301,7.11
33.06,4.42,4.705,0.2846,6.44
33.97,4.2,4.443,0.2427,5.78
34.92,4.0,4.189,0.1886,4.71
35.94,3.78,3.936,0.156,4.13
37.01,3.57,3.692,0.1215,3.4
38.15,3.37,3.452,0.0821,2.44
39.36,3.18,3.22,0.0396,1.25
40.65,2.98,2.994,0.0136,0.46
42.03,2.8,2.774,-0.0258,-0.92
44.28,2.52,2.46,-0.0603,-2.39
47.68,2.18,2.068,-0.1123,-5.15
50.6,1.94,1.795,-0.1454,-7.5
52.76,1.78,1.623,-0.1574,-8.84
56.35,1.55,1.382,-0.1678,-10.83
60.48,1.34,1.161,-0.1792,-13.37
65.25,1.14,0.96,-0.1798,-15.77
70.85,0.961,0.78,-0.1814,-18.88
77.49,0.792,0.62,-0.1724,-21.77
85.5,0.637,0.48,-0.1571,-24.66
95.37,0.497,0.36,-0.137,-27.56
103.3,0.412,0.291,-0.121,-29.36
112.7,0.335,0.23,-0.1047,-31.25
124.0,0.265,0.178,-0.0873,-32.96
137.8,0.202,0.133,-0.069,-34.16
155.0,0.147,0.096,-0.051,-34.72
177.1,0.1,0.066,-0.034,-34.01
