Lambda (A),Exp (Mb),Sim (Mb),Error (%)
783.0,29.2,79.179,171.16
780.0,29.5,79.179,168.4
770.0,30.3,79.179,161.32
760.0,31.1,78.022,150.87
750.0,31.8,76.768,141.41
740.0,32.5,75.514,132.35
730.0,33.1,74.26,124.35
720.0,33.7,73.006,116.63
710.0,34.2,71.752,109.8
700.0,34.7,70.498,103.16
690.0,35.1,69.244,97.28
680.0,35.5,67.99,91.52
670.0,35.8,66.736,86.41
660.0,36.1,65.482,81.39
650.0,36.3,64.228,76.94
640.0,36.5,62.974,72.53
630.0,36.6,61.72,68.63
620.0,36.7,60.466,64.76
610.0,36.8,59.212,60.9
600.0,36.7,57.958,57.92
590.0,36.7,56.704,54.51
580.0,36.5,55.45,51.92
570.0,36.3,54.196,49.3
560.0,36.1,52.942,46.65
550.0,35.7,51.688,44.78
540.0,35.4,50.434,42.47
530.0,34.9,49.18,40.92
520.0,34.4,47.926,39.32
510.0,33.8,46.672,38.08
500.0,33.1,45.418,37.22
490.0,32.3,44.164,36.73
480.0,31.4,42.91,36.66
470.0,30.5,41.656,36.58
460.0,29.5,40.402,36.96
450.0,28.3,39.148,38.33
440.0,27.1,37.894,39.83
430.0,25.7,36.64,42.57
420.0,24.3,35.387,45.62
410.0,22.7,34.133,50.36
400.0,21.0,32.879,56.56
390.0,19.1,31.625,65.57
380.0,17.1,30.371,77.61
370.0,15.0,29.117,94.11
360.0,12.8,27.863,117.68
350.0,10.3,26.609,158.34
340.0,7.77,25.355,226.32
330.0,6.1,24.101,295.09
320.0,4.62,22.847,394.52
310.0,3.41,21.593,533.22
300.0,2.47,20.339,723.43
290.0,1.77,19.085,978.24
280.0,1.3,17.831,1271.6
270.0,1.03,16.577,1509.4
260.0,0.914,15.323,1576.46
250.0,0.916,14.069,1435.91
240.0,1.0,12.815,1181.49
230.0,1.13,11.561,923.09
220.0,1.28,10.307,705.23
210.0,1.36,9.053,565.66
200.0,1.42,7.799,449.23
190.0,1.45,6.545,351.38
180.0,1.48,5.291,257.5
170.0,1.48,4.037,172.78
160.0,1.47,2.783,89.33
150.0,1.45,1.529,5.46
140.0,1.41,0.96,-31.9
130.0,1.36,0.892,-34.39
120.0,1.29,0.824,-36.1
110.0,1.2,0.756,-36.97
100.0,1.1,0.688,-37.42
95.0,1.05,0.654,-37.67
90.0,0.987,0.62,-37.14
85.0,0.923,0.586,-36.46
80.0,0.856,0.551,-35.65
75.0,0.785,0.5,-36.26
70.0,0.709,0.45,-36.55
65.0,0.63,0.399,-36.6
60.0,0.547,0.349,-36.2
55.0,0.461,0.299,-35.15
50.6,0.381,0.258,-32.38
50.0,4.66,0.252,-94.59
48.0,4.23,0.233,-94.49
46.0,3.83,0.214,-94.4
44.0,3.45,0.196,-94.33
42.0,3.1,0.178,-94.27
40.0,2.76,0.161,-94.15
38.0,2.45,0.145,-94.07
36.0,2.16,0.129,-94.02
34.0,1.89,0.113,-94.0
32.0,1.64,0.1,-93.92
30.0,1.41,0.086,-93.9
28.0,1.2,0.073,-93.89
26.0,1.01,0.062,-93.89
24.0,0.836,0.051,-93.92
22.0,0.682,0.041,-93.99
20.0,0.546,0.032,-94.07
19.0,0.484,0.028,-94.13
18.0,0.426,0.025,-94.2
17.0,0.373,0.021,-94.28
16.0,0.324,0.018,-94.41
15.0,0.278,0.015,-94.49
14.0,0.237,0.013,-94.63
13.0,0.199,0.01,-94.78
12.0,0.165,0.008,-94.96
11.0,0.135,0.007,-95.17
10.0,0.108,0.005,-95.4
9.5,0.0955,0.004,-95.51
9.0,0.0842,0.004,-95.64
8.5,0.0736,0.003,-95.79
8.0,0.0639,0.003,-95.94
7.5,0.0549,0.002,-96.1
7.0,0.0467,0.002,-96.27
6.5,0.0393,0.001,-96.46
6.0,0.0326,0.001,-96.66
5.5,0.0266,0.001,-96.87
5.0,0.0213,0.001,-97.1
4.5,0.0166,0.0,-97.33
4.0,0.0126,0.0,-97.58
3.87,0.0117,0.0,-97.65
3.8,0.0959,0.0,-99.73
3.6,0.0827,0.0,-99.74
3.4,0.0706,0.0,-99.74
3.2,0.0598,0.0,-99.75
3.0,0.0501,0.0,-99.76
2.8,0.0414,0.0,-99.77
2.6,0.0338,0.0,-99.8
2.4,0.0271,0.0,-99.88
2.2,0.0213,0.0,-99.81
2.0,0.0164,0.0,-99.25
1.8,0.0123,0.0,-99.92
1.6,0.00889,0.0,-99.88
1.4,0.00616,0.0,-99.81
1.2,0.00403,0.0,-99.79
1.0,0.00244,0.0,-99.69
0.8,0.00132,0.0,-92.07
0.6,0.000599,0.004,624.19
0.4,0.000196,0.01,4782.9
0.2,2.9e-05,0.0,-86.77
